function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey500,0,500,0.1000,0.2500,1.2000,1.1000,0.0000,0.11988418,0.11966931,0.13560772
mackey500,0,500,0.2000,0.3300,1.1500,1.1000,0.0000,0.11653204,0.12188984,0.13939947
mackey500,0,500,0.3000,0.3400,1.1500,1.1000,0.0000,0.11539650,0.12064335,0.13735326
mackey500,0,500,0.4000,0.3200,1.1500,1.1000,0.0000,0.11512414,0.12370080,0.13908419
mackey500,0,500,0.5000,0.3000,1.1500,1.1000,0.0000,0.11397171,0.11846649,0.13618938
mackey500,0,500,0.6000,0.3100,1.2000,1.1000,0.0000,0.11545959,0.12000641,0.13730256
mackey500,0,500,0.7000,0.2800,1.2000,1.1000,0.0000,0.11856741,0.12238135,0.13769335
mackey500,0,500,0.8000,0.2900,1.1000,1.1000,0.0000,0.11685922,0.12113278,0.13707986
mackey500,0,500,0.9000,0.3100,1.2000,1.1000,0.0000,0.11809506,0.12393473,0.13940269
mackey500,0,500,1.0000,0.2800,1.2000,1.1000,0.0000,0.11519502,0.12152353,0.13658104
mackey500,1,500,0.0000,0.2700,1.1000,1.1000,0.0000,0.11510269,0.11745914,0.13493275
mackey500,1,500,0.1000,0.2700,1.1000,1.1000,0.0000,0.11941680,0.12075061,0.13834344
mackey500,1,500,0.2000,0.2900,1.1500,1.1000,0.0000,0.12025085,0.12334672,0.13807728
mackey500,1,500,0.3000,0.3200,1.1000,1.1000,0.0000,0.11839714,0.12098943,0.13672949
mackey500,1,500,0.4000,0.3100,1.2000,1.1000,0.0000,0.11637332,0.12241182,0.13906762
mackey500,1,500,0.5000,0.3500,1.2000,1.1000,0.0000,0.11241006,0.11991064,0.13852628
mackey500,1,500,0.6000,0.2600,1.2000,1.1000,0.0000,0.11558946,0.11734607,0.13254537
mackey500,1,500,0.7000,0.3100,1.1000,1.1000,0.0000,0.11897588,0.12035304,0.13543347
mackey500,1,500,0.8000,0.3000,1.1000,1.1000,0.0000,0.11853449,0.12083823,0.13923918
