t,predict_test,teacher
2999,0.961481,0.651758,839.557
t,predict_test,teacher
501,0.141646,-0.871504,1.02647
502,-0.976781,-0.897167,1.03281
503,0.0926502,-0.918112,2.05445
504,0.59012,0.966915,2.19643
505,0.174735,-0.323771,2.44493
506,0.180276,0.700105,2.71516
507,-0.0048166,-0.673516,3.16232
508,-0.272097,0.996646,4.77202
509,0.172042,-0.940362,6.00947
510,0.280191,0.944651,6.45097
511,0.0711592,0.102098,6.45193
512,-0.978463,-0.748,6.50504
513,-0.361365,-0.654848,6.59118
514,-0.905534,-0.935808,6.59209
515,0.161361,0.472826,6.6891
516,0.143399,-0.939102,7.86091
517,0.144363,0.819782,8.3171
518,-0.0680109,0.998229,9.45397
519,-0.18617,0.52925,9.9658
520,-0.0819173,0.296849,10.1093
521,-0.479162,-0.808604,10.2178
522,-0.964297,-0.930179,10.219
523,-0.0945952,-0.091996,10.219
524,0.00330845,0.945656,11.107
525,0.17393,0.6097,11.2969
526,-0.854484,-0.954345,11.3068
527,-0.311484,-0.127988,11.3405
528,-0.0218805,0.87338,12.142
529,-0.157697,-0.325043,12.17
530,0.108248,0.998391,12.9624
531,-0.026334,0.977658,13.9704
532,-0.121915,-0.555597,14.1584
533,-0.0877525,-0.744279,14.5895
534,0.131564,0.684879,14.8956
535,-0.753476,-0.999992,14.9564
536,-0.0659925,-0.624645,15.2685
537,-0.137422,-0.956066,15.9387
538,-0.307412,-0.153886,15.9622
539,0.180458,-0.7699,16.8654
540,-0.308603,0.361172,17.314
541,0.166526,-0.00972093,17.3451
542,-0.392134,-0.209633,17.3784
543,-0.233514,0.880048,18.6184
544,1.01894,0.988773,18.6193
545,-0.105779,0.692187,19.2561
546,-0.0746446,-0.811792,19.7995
547,-0.582953,-0.962205,19.9433
548,-0.136296,-0.190386,19.9462
549,-0.14551,-0.490578,20.0653
550,-0.481191,0.120538,20.4274
551,-0.101399,0.544636,20.8447
552,-0.0639138,-0.0899016,20.8454
553,-0.0945682,-0.129991,20.8467
554,-0.240468,-0.237033,20.8467
555,-0.272994,-0.347248,20.8522
556,0.223674,0.982384,21.4278
557,-0.399297,-0.866033,21.6457
558,-0.114873,0.844538,22.5661
559,0.345884,0.557713,22.611
560,-0.175529,0.922711,23.8171
561,-0.441469,-0.797319,23.9438
562,0.140957,-0.992799,25.2292
563,-0.0806955,-0.990947,26.0577
564,-0.0376317,-0.627758,26.406
565,-0.253669,-0.741297,26.6438
566,-0.123301,-0.167032,26.6457
567,-0.111397,-0.133266,26.6461
568,0.924205,0.97451,26.6487
569,-0.190269,0.934551,27.9139
570,0.189444,-0.299347,28.1528
571,-0.877433,-0.650331,28.2044
572,-0.142458,-0.916344,28.8033
573,0.142532,0.669769,29.0813
574,0.111977,-0.288803,29.2419
575,0.163073,0.719462,29.5515
576,-0.176657,0.9212,30.7568
577,0.116338,-0.661053,31.3611
578,0.0949529,0.567364,31.5843
579,-0.788548,-0.735389,31.5871
580,-0.750534,-0.945323,31.625
581,-0.129536,-0.0085615,31.6397
582,0.175071,0.894992,32.158
583,-0.922902,-0.938231,32.1582
584,0.133281,0.3942,32.2263
585,0.748275,0.975901,32.2781
586,-0.821553,-0.495951,32.3841
587,-0.368369,-0.473257,32.3951
588,-0.641214,-0.970673,32.5036
589,0.162463,0.989849,33.1882
590,0.305018,0.649464,33.3069
591,-0.23578,-0.174509,33.3106
592,-0.415377,-0.762987,33.4314
593,0.125717,0.50795,33.5775
594,0.129427,0.526619,33.7353
595,-0.954878,-0.918144,33.7367
596,0.240985,0.743009,33.9887
597,-0.571764,-0.999932,34.172
598,0.0821765,-0.88644,35.1102
599,0.176297,0.915929,35.6573
600,0.994652,0.900991,35.6661
601,-0.0217595,-0.283,35.7343
602,-0.207683,-0.453897,35.7949
603,0.0851837,-0.981326,36.9324
604,-0.814951,-0.992098,36.9637
605,0.0227686,-0.818769,37.6719
606,0.06397,0.945665,38.4493
607,-0.368319,-0.28063,38.457
608,0.0213636,0.423943,38.6191
609,-0.183347,-0.999222,39.2847
610,-0.223891,-0.308669,39.2919
611,0.124884,0.227821,39.3025
612,-0.528293,-0.965582,39.4937
613,-0.128926,-0.306785,39.5254
614,0.266579,0.53047,39.595
615,0.148191,-0.892263,40.6776
616,-0.195548,-0.0900724,40.6887
617,-0.329366,-0.678874,40.8108
618,-0.427365,-0.716676,40.8945
619,-0.229432,-0.83944,41.2666
620,-0.0219279,0.922798,42.1591
621,0.210212,-0.548558,42.7349
622,0.1783,0.479037,42.8253
623,-0.184116,-0.651773,43.044
624,0.195401,0.282436,43.0516
625,-0.24105,0.987461,44.5608
626,-0.0285198,-0.806914,45.1667
627,-0.247161,-0.232616,45.1669
628,0.491988,0.921784,45.3517
629,0.325675,-0.213776,45.6427
630,-0.110868,0.995822,46.8674
631,0.0536139,0.0712521,46.8678
632,-0.898092,-0.642059,46.9333
633,0.0995835,0.999938,47.7439
634,-0.779517,-0.635054,47.7648
635,-0.361913,-0.185337,47.796
636,-0.302317,0.995228,49.4796
637,0.354931,0.426876,49.4848
638,-1.09459,-0.896184,49.5242
639,-1.05353,-0.945598,49.5358
640,0.184476,0.338248,49.5595
641,1.113,0.879983,49.6137
642,-0.0187407,0.156661,49.6445
643,0.268503,0.259063,49.6446
644,-0.0906614,-0.713815,50.0329
645,-0.0550899,-0.770168,50.5443
646,0.173437,0.619333,50.7431
647,-0.131467,-0.753066,51.1295
648,0.449503,0.845602,51.2864
649,-0.0396593,-0.900694,52.0277
650,-0.116599,0.220614,52.1415
651,0.23221,0.0220394,52.1856
652,0.0173035,0.12265,52.1967
653,-1.07426,-0.897554,52.2279
654,-0.0352926,0.0278897,52.2319
655,0.011169,0.905919,53.0325
656,0.0844748,0.997578,53.8663
657,0.120074,0.514345,54.0217
658,-0.213723,-0.218945,54.0218
659,0.471396,0.991948,54.2927
660,0.927251,0.768256,54.318
661,-0.35297,-0.203477,54.3404
662,0.216704,0.997197,54.9495
663,-0.0250936,0.46233,55.1871
664,-0.872346,-0.999627,55.2033
665,0.159637,-0.924856,56.3794
666,-0.126238,0.36066,56.6165
667,-0.100694,0.238372,56.7315
668,-0.157456,-0.586264,56.9153
669,0.321123,0.534842,56.961
670,0.172727,-0.948397,58.2179
671,-0.178261,-0.964929,58.8368
672,0.0643334,0.0977164,58.8379
673,0.123807,-0.662235,59.4558
674,0.94734,0.998885,59.4584
675,-0.753127,-0.640987,59.471
676,0.0230453,0.238586,59.5175
677,0.0049949,-0.970388,60.4688
678,0.144647,0.509642,60.602
679,-0.0794055,-0.538863,60.8131
680,0.334597,0.928367,61.1657
681,-0.0653871,0.941774,62.1801
682,0.50877,0.205012,62.2724
683,0.33309,0.588404,62.3375
684,-0.194639,-0.0734158,62.3522
685,0.129704,0.897322,62.9415
686,0.99981,0.773195,62.9928
687,-0.033799,-0.287154,63.057
688,-0.0593882,0.692368,63.6222
689,0.861776,0.612508,63.6843
690,-0.583628,-0.999894,63.8576
691,1.05593,0.947228,63.8694
692,0.28939,0.646493,63.9969
693,0.396742,0.358754,63.9983
694,0.0795251,-0.579444,64.4326
695,0.454387,-0.515999,65.3742
696,-0.745795,-0.621658,65.3896
697,-0.171781,-0.195095,65.3902
698,0.661489,0.920927,65.4575
699,0.0380523,0.806484,66.048
700,0.00796278,-0.98448,67.0329
701,0.976485,0.954398,67.0334
702,-0.799552,-0.956564,67.0581
703,0.101369,-0.942002,68.1467
704,0.972448,0.920504,68.1494
705,0.336868,0.646248,68.2451
706,-0.999411,-0.880228,68.2593
707,0.837706,0.504265,68.3705
708,-0.0503937,-0.493271,68.5666
709,-1.0483,-0.662993,68.7151
710,-0.316089,0.692586,69.7325
711,-0.282919,-0.331766,69.7349
712,0.637535,0.970128,69.8455
713,1.05495,0.91359,69.8655
714,0.00693512,-0.300173,69.9598
715,-0.0921261,-0.103891,69.96
716,-0.0521711,0.995727,71.0581
717,0.271814,0.309655,71.0595
718,-0.417098,-0.759797,71.1769
719,-0.938173,-0.997343,71.1804
720,0.0887843,0.920983,71.873
721,0.193788,-0.0312508,71.9236
722,-0.519718,-0.873753,72.049
723,-0.0369711,-0.94084,72.8659
724,-0.287544,0.686366,73.8144
725,-0.112739,-0.788503,74.2711
726,0.112653,0.866267,74.839
727,0.200678,-0.565137,75.4255
728,-0.789535,-0.71747,75.4307
729,-0.083963,-0.770537,75.9021
730,-0.00186384,0.435722,76.0936
731,0.0630204,0.843339,76.7025
732,-0.12458,0.967942,77.8961
733,-0.237384,-0.340521,77.9067
734,-0.212268,0.917671,79.1835
735,0.21388,-0.116651,79.2927
736,-0.0354912,-0.930097,80.093
737,0.600341,0.982471,80.2391
738,0.145581,0.773683,80.6336
739,0.142856,0.927361,81.249
740,0.86567,0.986447,81.2636
741,0.0572325,0.114516,81.2669
742,0.620431,0.943355,81.3712
743,-0.154276,-0.64394,81.6109
744,-0.233121,-0.443113,81.655
745,0.00626037,-0.997656,82.6629
746,-0.0412469,-0.192433,82.6857
747,-0.124788,-0.999227,83.4504
748,0.189137,0.14068,83.4527
749,0.045713,0.998976,84.3614
750,-0.187677,0.183066,84.4989
751,0.0126335,0.2843,84.5727
752,-0.118562,-0.158872,84.5743
753,-0.324682,0.997242,86.3218
754,0.837146,0.999016,86.348
755,0.118424,0.451055,86.4586
756,0.118058,0.347008,86.5111
757,-0.0363888,-0.28129,86.571
758,0.200863,0.936875,87.1128
759,-0.27779,-0.855766,87.4468
760,0.879225,0.994308,87.4601
761,0.254809,0.176689,87.4662
762,0.834979,0.959934,87.4818
763,1.01383,0.715901,87.5705
764,0.255985,0.2397,87.5708
765,0.0220691,0.783394,88.1504
766,0.780083,0.990421,88.1947
767,0.170218,-0.705473,88.9615
768,-0.259632,-0.886268,89.3542
769,0.0927853,0.984607,90.1495
770,-0.31219,-0.744167,90.3361
771,-0.238575,0.966644,91.7887
772,-0.0576775,-0.0858838,91.7895
773,0.127366,-0.99466,93.0484
774,0.114353,0.478987,93.1814
775,-0.873524,-0.922747,93.1838
776,0.0312527,0.87389,93.8938
777,-0.155129,-0.991915,94.594
778,-0.0619945,0.426548,94.8327
779,-0.234391,-0.974895,95.3811
780,-0.159306,-0.189861,95.382
781,0.135702,0.999998,96.129
782,0.0871867,0.992114,96.9479
783,0.114815,-0.740165,97.6789
784,0.212262,0.817242,98.0449
785,-0.0989544,0.509217,98.4148
786,-0.81975,-0.491285,98.5226
787,-0.114303,0.961927,99.6809
788,0.855388,0.443488,99.8506
789,0.698248,0.948092,99.913
790,0.405268,0.587636,99.9463
791,0.202878,-0.168828,100.084
792,0.330139,0.501066,100.114
793,1.01304,0.818581,100.151
794,-0.508807,-0.424786,100.159
795,-0.118819,0.745745,100.906
796,-0.199464,-0.869869,101.355
797,0.0264884,-0.315549,101.472
798,0.216508,0.976564,102.05
799,-0.203106,0.966092,103.417
800,0.653823,0.39435,103.484
801,1.09018,0.971291,103.499
802,-0.138484,0.443392,103.837
803,-0.0840653,0.915956,104.837
804,0.221858,-0.409521,105.236
805,-0.131725,-0.449191,105.337
806,0.399741,0.259286,105.356
807,-0.162755,-0.178385,105.357
808,0.307528,-0.75022,106.475
809,-0.642953,-0.54683,106.485
810,0.920148,0.96844,106.487
811,-0.0752944,0.999988,107.643
812,-0.139124,-0.344515,107.685
813,1.0825,0.81712,107.756
814,-0.185522,-0.682687,108.003
815,-0.0882342,0.111813,108.043
816,0.178827,-0.0984069,108.12
817,0.342742,0.208417,108.138
818,0.173937,0.925757,108.703
819,-0.780046,-0.952775,108.733
820,-0.249511,-0.255263,108.733
821,0.129937,0.853647,109.257
822,-0.497374,-0.867836,109.394
823,0.273826,0.366043,109.403
824,-0.762828,-0.953672,109.439
825,-0.632476,-0.941352,109.534
826,0.265512,0.859951,109.888
827,-0.40469,-0.945264,110.18
828,-0.073414,-0.953443,110.954
829,0.179223,-0.425489,111.32
830,0.135226,0.455847,111.423
831,0.576748,0.181338,111.579
832,-0.516746,-0.933865,111.753
833,-0.330095,-0.150215,111.786
834,0.0789513,-0.0233526,111.796
835,-0.145637,-0.300606,111.82
836,0.107533,0.728808,112.206
837,-0.42879,-0.327885,112.216
838,0.707792,0.985712,112.293
839,0.0166448,-0.941013,113.211
840,0.051051,0.107338,113.214
841,-0.531782,-0.320369,113.258
842,-0.0956775,-0.691213,113.613
843,-1.08036,-0.976133,113.624
844,-0.416313,-0.32879,113.632
845,-0.266528,0.993641,115.22
846,-0.026309,-0.0766992,115.222
847,0.434922,0.309657,115.238
848,-0.109989,-0.999732,116.03
849,-0.0177945,-0.883144,116.778
850,-0.0198038,0.279402,116.868
851,0.217622,-0.949853,118.231
852,0.290523,0.00840254,118.31
853,-0.460767,-0.287162,118.341
854,0.077029,0.199578,118.356
855,0.539018,0.893964,118.482
856,-0.0590484,-0.187372,118.498
857,-0.0603961,-0.738179,118.957
858,0.0160073,0.895384,119.731
859,0.228217,0.945583,120.245
860,-0.484915,-0.295672,120.281
861,-0.149775,-0.338876,120.317
862,-0.026197,0.3952,120.495
863,0.148966,0.714513,120.814
864,0.196944,0.358983,120.841
865,-0.00678578,0.48183,121.079
866,0.38765,0.761462,121.219
867,-0.110672,-0.919242,121.873
868,-0.392132,-0.615144,121.923
869,-0.0405521,-0.0540734,121.923
870,-0.943999,-0.984275,121.924
871,0.138898,0.330399,121.961
872,0.65031,0.984094,122.073
873,-0.205711,-0.258644,122.075
874,-0.213257,0.141413,122.201
875,0.600724,0.38219,122.249
876,-0.117864,0.304925,122.428
877,-0.160817,0.54319,122.923
878,-0.577753,-0.985014,123.089
879,-0.237404,0.0128028,123.152
880,0.682405,0.999909,123.253
881,0.249313,0.990779,123.802
882,-0.075893,0.916742,124.788
883,0.244174,0.442774,124.827
884,-0.0940224,-0.968058,125.591
885,-0.971074,-0.572782,125.75
886,0.55665,0.958651,125.911
887,-0.237491,-0.136855,125.921
888,-0.24926,-0.472456,125.971
889,0.782754,0.915061,125.989
890,-0.90597,-0.963465,125.992
891,-1.10298,-0.89468,126.035
892,-0.228267,-0.75409,126.312
893,-0.243513,-0.230135,126.312
894,-0.187602,-0.144533,126.314
895,0.29122,0.452198,126.34
896,0.334129,-0.443086,126.944
897,-0.0559373,-0.971202,127.782
898,0.887423,0.774178,127.794
899,-0.577792,-0.298936,127.872
900,0.858081,0.47802,128.017
901,-0.824774,-0.571892,128.081
902,-0.232766,0.541714,128.68
903,-0.151774,-0.961707,129.336
904,-0.0647924,0.685119,129.899
905,-0.143388,-0.363902,129.947
906,-0.182448,-0.995521,130.608
907,0.120383,-0.96791,131.793
908,-0.137353,0.250655,131.943
909,0.198383,-0.823932,132.989
910,-0.172433,-0.20368,132.989
911,-0.154044,-0.696727,133.284
912,-0.199132,-0.645606,133.483
913,0.131554,-0.809764,134.369
914,0.0496451,0.929062,135.143
915,0.144777,0.124824,135.143
916,-0.245064,-0.411387,135.171
917,-0.123611,-0.929191,135.82
918,-0.211201,-0.384419,135.85
919,0.0172134,0.418381,136.011
920,-0.232843,0.998533,137.527
921,0.053366,-0.356632,137.695
922,0.965916,0.86625,137.705
923,0.116882,-0.179743,137.793
924,0.0385307,0.990789,138.7
925,0.0423665,0.695115,139.126
926,0.191664,-0.504426,139.61
927,-0.0648784,0.83646,140.423
928,-0.815538,-0.608208,140.466
929,-0.961892,-0.51428,140.666
930,-0.105991,0.50433,141.039
931,-0.639331,-0.971585,141.149
932,0.178911,-0.532375,141.655
933,0.137893,0.718536,141.992
934,-0.0359963,-0.964939,142.855
935,-0.12022,0.962619,144.028
936,-0.846306,-0.56265,144.108
937,-0.0116936,-0.94462,144.978
938,-0.86491,-0.726767,144.998
939,-1.01472,-0.929293,145.005
940,-1.04545,-0.60681,145.197
941,-0.154998,-0.684782,145.478
942,0.11174,0.566034,145.684
943,-0.101285,-0.372603,145.758
944,0.049017,-0.727797,146.361
945,-0.249087,0.577048,147.044
946,0.255214,0.567823,147.142
947,0.0188183,-0.0124236,147.143
948,-0.103956,-0.467838,147.275
949,-0.930037,-0.941009,147.275
950,0.120407,0.9976,148.045
951,-0.345176,-0.733777,148.196
952,-0.14349,0.516462,148.631
953,0.0498931,-0.633109,149.098
954,-0.0056477,1,150.109
955,0.100283,0.000868336,150.119
956,-0.154385,0.0137921,150.147
957,0.123299,-0.95984,151.32
958,-0.201915,-0.223367,151.321
959,-0.554614,-0.75123,151.359
960,-0.239818,-0.866289,151.752
961,0.0662209,0.780122,152.262
962,0.287291,0.590063,152.353
963,0.0586713,-0.642032,152.844
964,-0.216374,-0.915482,153.333
965,0.426188,0.310085,153.346
966,0.261925,0.966133,153.842
967,0.0948471,-0.827348,154.693
968,-0.135673,0.933534,155.836
969,0.453115,0.719322,155.907
970,0.128698,0.927345,156.545
971,0.734151,0.527436,156.587
972,0.106391,-0.997977,157.807
973,0.300429,0.120439,157.839
974,-0.0670801,-0.427789,157.97
975,0.805685,0.806048,157.97
976,0.646251,0.987452,158.086
977,0.108343,0.92864,158.759
978,-0.182958,-0.753848,159.085
979,-0.317182,-0.436127,159.099
980,0.99318,0.958818,159.1
981,-0.0920527,0.691792,159.715
982,0.512129,0.774976,159.784
983,-0.0617556,0.999307,160.909
984,-0.111371,-0.438243,161.016
985,0.496457,0.929176,161.204
986,-0.0371448,0.849121,161.989
987,0.0615198,0.790028,162.52
988,0.213726,-0.512405,163.047
989,1.08409,0.883734,163.087
990,-0.106746,0.321576,163.271
991,0.117867,0.22505,163.282
992,0.103364,0.987681,164.064
993,-0.0239802,-0.862409,164.767
994,0.00776083,0.280065,164.841
995,-0.0669264,0.0672147,164.859
996,0.173401,0.0718008,164.87
997,-0.128374,-0.893666,165.455
998,0.853094,0.674671,165.487
999,-0.0154563,-0.996482,166.449
1000,-0.192199,-0.720181,166.728
1001,0.11956,-0.999123,167.98
1002,-0.138642,0.869181,168.995
1003,-0.00316822,0.344108,169.116
1004,-0.168635,0.0744772,169.175
1005,-0.811794,-0.981145,169.204
1006,0.120431,0.528825,169.371
1007,-0.203771,-0.888874,169.84
1008,-0.228408,-0.0537665,169.87
1009,0.06049,0.769677,170.373
1010,0.495663,0.906384,170.542
1011,0.103299,0.255806,170.565
1012,0.82615,0.908361,170.572
1013,-0.729939,-0.941977,170.617
1014,0.0113181,0.028366,170.617
1015,-0.0120467,0.855812,171.37
1016,0.527366,0.774967,171.432
1017,0.341193,0.595662,171.497
1018,1.0953,0.999937,171.506
1019,0.304704,0.722372,171.68
1020,-0.0496614,-0.999865,172.583
1021,0.159355,0.346667,172.618
1022,0.112665,-0.601285,173.128
1023,0.038379,0.92071,173.906
1024,0.930789,0.79395,173.925
1025,-0.544116,-0.35674,173.96
1026,0.0303107,0.599057,174.284
1027,0.893587,0.991912,174.293
1028,-0.204694,0.569508,174.893
1029,-0.379282,-0.599374,174.941
1030,0.246062,0.535162,175.025
1031,0.710199,0.839349,175.041
1032,0.179189,0.999429,175.714
1033,0.22769,-0.167377,175.87
1034,0.185381,-0.968789,177.202
1035,-0.598654,-0.885687,177.285
1036,-0.0231911,0.0347544,177.288
1037,-0.0743288,0.999304,178.441
1038,-0.1761,-0.313732,178.46
1039,1.02243,0.857685,178.487
1040,-0.115003,-0.680721,178.807
1041,-0.0704077,-0.791338,179.327
1042,0.331894,0.792204,179.539
1043,0.470636,0.824748,179.664
1044,-0.152091,-0.98955,180.365
1045,0.0983565,0.989054,181.159
1046,0.0700547,0.579969,181.419
1047,-0.15063,0.708981,182.158
1048,-0.268383,-0.0212029,182.219
1049,0.0798152,-0.146255,182.27
1050,0.197256,0.497121,182.36
1051,0.0544107,-0.739664,182.99
1052,-0.115515,0.856629,183.935
1053,0.118568,0.00578406,183.948
1054,-0.163703,0.93253,185.15
1055,-0.731081,-0.947221,185.196
1056,0.162008,-0.317044,185.426
1057,-0.00918973,0.366935,185.567
1058,-0.132405,0.890698,186.614
1059,-0.324204,-0.977548,187.041
1060,-0.312565,-0.654471,187.158
1061,-0.20915,-0.963385,187.727
1062,0.93773,0.763062,187.757
1063,-0.0879788,-0.722743,188.16
1064,0.0678112,0.997961,189.025
1065,-0.950044,-0.931293,189.026
1066,-0.176947,-0.999999,189.703
1067,-0.0970981,-0.243373,189.725
1068,-0.332596,0.925403,191.307
1069,0.910472,0.73286,191.339
1070,-0.206063,0.974991,192.734
1071,0.230652,0.0817565,192.756
1072,-0.310409,0.309728,193.14
1073,0.713348,0.984852,193.214
1074,0.134345,0.657278,193.487
1075,0.533226,0.983257,193.69
1076,0.00538038,0.894306,194.48
1077,0.123997,0.531874,194.647
1078,-1.0836,-0.955807,194.663
1079,-0.849375,-0.549746,194.753
1080,0.0134029,0.183719,194.782
1081,-0.00180729,-0.0965697,194.791
1082,0.719123,0.999855,194.869
1083,0.160786,-0.996444,196.209
1084,0.12703,0.663009,196.496
1085,-0.00590839,-0.66742,196.934
1086,0.203332,-0.97312,198.318
1087,-0.152598,-0.68545,198.601
1088,0.071857,0.383011,198.698
1089,0.237249,-0.352218,199.046
1090,-0.440158,-0.957088,199.313
1091,0.864022,0.561716,199.404
1092,-0.482882,-0.608995,199.42
1093,-0.188419,-0.123216,199.425
1094,0.117662,0.269534,199.448
1095,-0.915752,-0.756278,199.473
1096,0.048996,0.946827,200.279
1097,0.0802132,-0.0292942,200.291
1098,-0.696888,-0.834905,200.31
1099,0.0530657,0.467529,200.482
1100,0.042623,-0.235818,200.559
1101,-0.162376,-0.412653,200.622
1102,-0.229124,0.46724,201.107
1103,-0.261976,0.00899138,201.18
1104,-0.00051983,0.821679,201.856
1105,0.544515,0.866161,201.96
1106,-0.403512,-0.861092,202.169
1107,-0.280976,0.905573,203.577
1108,0.851334,0.5917,203.645
1109,-0.0278527,0.563007,203.994
1110,0.0638895,0.0122725,203.996
1111,0.0763774,0.971894,204.798
1112,-0.0694176,0.0544293,204.814
1113,-0.17266,-0.199672,204.814
1114,-0.713906,-0.542822,204.844
1115,-0.0837915,-0.972158,205.633
1116,-0.0127682,-0.916418,206.449
1117,-0.141357,-0.125824,206.45
1118,-0.988104,-0.971384,206.45
1119,-0.170913,-0.988168,207.118
1120,-0.206973,0.507633,207.629
1121,-0.169543,-0.880185,208.134
1122,-0.833162,-0.535858,208.222
1123,-0.00647811,0.505118,208.484
1124,0.150024,0.933168,209.097
1125,0.165527,0.779315,209.474
1126,-0.00511007,0.682879,209.947
1127,0.0615697,0.652397,210.296
1128,-0.00749183,0.410599,210.471
1129,0.0614521,0.0294198,210.472
1130,-0.107978,0.97268,211.64
1131,-0.168721,-0.865772,212.126
1132,-0.212171,-0.0920099,212.14
1133,0.356998,0.251688,212.151
1134,0.00996084,0.0677109,212.155
1135,-0.516505,-0.982147,212.371
1136,-0.0436504,0.55009,212.724
1137,-0.00956348,-0.978703,213.663
1138,-0.892591,-0.488687,213.826
1139,0.135497,-0.449953,214.169
1140,0.139185,0.999994,214.91
1141,0.433295,0.633523,214.95
1142,0.18541,-0.837706,215.997
1143,-0.421501,-0.263568,216.022
1144,0.205676,-0.23205,216.213
1145,-0.195083,-0.519685,216.319
1146,0.601819,0.379701,216.368
1147,-0.160368,-0.991318,217.059
1148,-0.253162,-0.301088,217.061
1149,-0.367061,0.917197,218.71
1150,-0.00205759,0.745826,219.27
1151,-0.792072,-0.985237,219.307
1152,-0.615739,-0.353654,219.376
1153,0.04938,0.99962,220.278
1154,0.440809,0.856237,220.451
1155,0.541166,0.882511,220.568
1156,0.00620482,0.925363,221.412
1157,0.189741,-0.57077,221.991
1158,0.331545,0.434141,222.001
1159,-0.163083,-0.394403,222.055
1160,0.797446,0.995972,222.094
1161,-0.866047,-0.918506,222.097
1162,0.983111,0.90566,222.103
1163,0.203946,-0.572184,222.705
1164,0.345956,0.271026,222.711
1165,0.661251,0.891145,222.764
1166,0.165911,-0.0500877,222.811
1167,-0.079329,0.481706,223.125
1168,-0.922106,-0.975517,223.128
1169,-0.0287401,-0.0928744,223.132
1170,0.891411,0.97199,223.139
1171,-0.867569,-0.982089,223.152
1172,-0.347116,0.529836,223.921
1173,0.054146,0.995401,224.807
1174,-0.365451,-0.466517,224.817
1175,-0.162751,0.528635,225.295
1176,-0.0425278,0.751114,225.925
1177,0.891728,0.742096,225.947
1178,0.124943,-0.607324,226.484
1179,0.132498,0.46524,226.594
1180,0.106805,0.551292,226.792
1181,-1.09965,-0.899754,226.832
1182,0.0290086,0.814156,227.448
1183,0.0594252,0.892466,228.142
1184,-0.113568,-0.924632,228.8
1185,-0.283383,0.0866958,228.937
1186,-0.048633,-0.746548,229.424
1187,-0.159943,-0.345877,229.459
1188,0.123685,0.608199,229.693
1189,-0.0431577,-0.786474,230.246
1190,0.181521,-0.807469,231.224
1191,0.278144,0.160169,231.238
1192,0.130232,0.760765,231.635
1193,-0.0834983,-0.330039,231.696
1194,0.109577,-0.535859,232.113
1195,-0.139685,0.996462,233.404
1196,-0.423645,-0.813064,233.555
1197,-0.19204,0.140488,233.666
1198,0.173617,0.999789,234.348
1199,0.161167,0.210078,234.351
1200,0.175625,0.434027,234.418
1201,0.498856,0.287883,234.462
1202,0.94943,0.998287,234.465
1203,-0.457845,-0.146663,234.561
1204,0.0407841,0.98948,235.461
1205,-0.419985,-0.995399,235.793
1206,0.230757,0.171329,235.796
1207,-0.101213,-0.30014,235.836
1208,0.303736,0.770081,236.053
1209,0.417163,0.666415,236.115
1210,0.552599,0.257494,236.202
1211,-0.182205,-0.0575001,236.218
1212,0.103046,-0.707382,236.875
1213,-0.248715,-0.675667,237.057
1214,0.192907,-0.968547,238.406
1215,0.20508,0.757632,238.711
1216,0.377644,0.511883,238.729
1217,0.48581,0.941981,238.937
1218,0.982242,0.828416,238.961
1219,0.267252,0.82607,239.273
1220,0.165155,-0.942688,240.501
1221,-0.899986,-0.689183,240.545
1222,0.4273,0.691958,240.615
1223,0.133828,0.831251,241.101
1224,0.221081,0.0447764,241.133
1225,-0.221364,-0.595813,241.273
1226,0.188526,0.426128,241.329
1227,-0.145675,0.937575,242.503
1228,-0.141484,0.568493,243.007
1229,-0.307271,-0.420034,243.019
1230,-0.132483,-0.244672,243.032
1231,0.162223,-0.767369,243.896
1232,-0.0571891,-0.885993,244.583
1233,0.918827,0.716155,244.624
1234,-0.094861,-0.407456,244.722
1235,0.118239,-0.970208,245.907
1236,-0.730332,-0.981026,245.969
1237,0.182725,-0.985342,247.334
1238,-0.0189473,-0.928421,248.161
1239,-0.209162,-0.83285,248.55
1240,0.963514,0.920679,248.552
1241,-0.192404,0.598165,249.177
1242,0.132186,-0.390094,249.45
1243,-0.0496625,-0.0093165,249.451
1244,-0.264332,0.113744,249.594
1245,0.126912,0.0787655,249.596
1246,0.424903,0.789035,249.729
1247,0.161827,0.174402,249.729
1248,-0.0582157,-0.0466143,249.729
1249,-0.141437,0.434283,250.061
1250,-0.038018,-0.99041,250.968
1251,-0.26891,0.679263,251.867
1252,0.686443,0.800242,251.88
1253,0.52231,0.250373,251.954
1254,-0.618933,-0.971219,252.078
1255,0.118113,-0.94832,253.215
1256,0.652842,0.853216,253.255
1257,-0.105459,-0.997126,254.05
1258,-0.00776202,0.156743,254.077
1259,0.847302,0.908278,254.081
1260,0.288519,0.921271,254.482
1261,0.157283,0.721706,254.8
1262,-0.203036,-0.996143,255.429
1263,0.117893,-0.775879,256.228
1264,0.176906,-0.887647,257.361
1265,-0.0639475,-0.986968,258.213
1266,-1.00067,-0.812794,258.248
1267,-0.0130219,0.951935,259.18
1268,-0.0518696,0.546162,259.537
1269,-0.136685,-0.700489,259.855
1270,-0.38101,-0.798524,260.029
1271,-0.24,-0.0314845,260.073
1272,-0.777666,-0.590042,260.108
1273,0.216072,0.747509,260.391
1274,-0.0802428,-0.118816,260.392
1275,0.523633,0.959265,260.582
1276,0.0801144,0.993933,261.417
1277,0.121692,-0.33706,261.627
